Name,Occurrence,Ambig 3,Ambig 2,Ambig 1,Ambig 0
wei hu,17,9.69414787233205,8.82321948909365,7.39007693760435,4.62
yi yang,15,9.68113502368901,8.82085813295602,7.27234813831779,6.48
hua zhang,9,9.67806757973744,9.18723010216753,7.8432865587437,3.24
ying wu,46,9.63266112559587,8.94970472738775,7.67030235690823,3.78
yi wu,18,9.56884728055216,8.6928519188898,7.06866984476114,2.7
chen wang,35,9.54357032480205,8.58396680599461,6.96751988531043,6.48
ping liu,15,9.54185296322054,8.78342005859451,7.71486505216845,7.56
feng gao,45,9.54,9.54,9.54,9.54
liang wang,20,9.52986707050478,9.08962942864558,7.73479960571725,3.24
jing yang,33,9.49422925461355,8.734217089824,8.64,8.64
fang wang,41,9.48,9.48,9.48,9.48
gang wu,41,9.48,9.48,9.48,9.48
yun wang,22,9.45409774014341,8.72164587867346,7.04812300745418,1.5
peng chen,12,9.4039914563064,8.82816093971458,7.70402869051525,3.24
ning li,29,9.39922064239063,8.90260182679724,7.42330738703994,7.02
jing wu,32,9.38410935924841,8.6074681901536,7.38689998171976,6.48
lei yang,17,9.28349233883054,8.65809620764838,7.37422143365698,3.54
qing liu,25,9.28057318632614,8.54565643085658,7.20770400695627,1
hao liu,14,9.25337993985351,8.49235305737567,6.87353645386095,2.7
hong huang,4,9.22143357215922,8.58258559447052,7.01554497234243,1.62
lin liu,35,9.18234849424991,8.46181755564311,7.04115747727853,4.92
jian ma,45,9.18,9.18,9.18,9.18
wei wei,31,9.18,9.18,9.18,9.18
yi zhao,26,9.18,9.18,9.18,9.18
lei wu,14,9.17581669949644,8.5324519562777,7.1676899517547,3.78
hong xu,35,9.15451773068618,8.47124631711551,6.9441696255021,4.44
jun zhou,17,9.13209281747028,8.40051752293458,7.28540498811776,5.4
qi li,31,9.12830590443132,8.70063877378393,7.49299055964054,7.02
yuan chen,31,9.08554257808272,8.41001644699736,7.56,7.56
jun lin,1,9.08389804519848,8.38595232066204,7.2276045289968,1
bing li,40,8.90675839213132,8.10037997219948,8.1,8.1
hua chen,10,8.87178846346048,8.44197648503422,7.0939270395583,3.78
feng yang,20,8.83428349571684,8.24517320769728,6.84448029789314,5.94
yan yang,27,8.82686997812962,8.22221673130779,7.13183324819475,5.16
lei xu,101,8.82,8.82,8.82,8.82
yu yang,1,8.76861383295663,8.24240202348774,6.92246606191142,1
zheng li,24,8.75745260132377,8.64,8.64,8.64
dan wang,13,8.75744252202413,8.09907002678286,6.76601207995106,3.78
qi zhang,27,8.75672714720944,8.31729471094151,7.25338676022773,5.16
feng wu,45,8.73181805612346,8.12552119757205,6.65278539538818,1.62
yan wu,14,8.72449052506122,8.10289786015687,6.93209038683898,4.08
bin yu,58,8.7,8.7,8.7,8.7
yu wu,14,8.66691007039862,8.12279022813457,6.72858699453497,2.16
tao wu,16,8.65272416162239,8.10977743136215,6.8194123340532,5.94
jin liu,38,8.64089678890512,7.99446768053643,7.02,7.02
yang xu,48,8.64,8.64,8.64,8.64
dong wang,30,8.60114566874004,7.98747464920277,7.02,7.02
ling chen,46,8.55133248653572,8.03069184720122,6.82596082423603,4.92
bing zhang,16,8.54419799495871,7.74348289258887,6.40028054936943,3.84
du zhang,40,8.46,8.46,8.46,8.46
jun zhao,37,8.42986894462032,7.72616872398425,6.69564437132422,6.24
fei li,30,8.41544758645914,7.85656805240952,6.80435685394053,4.86
jie huang,25,8.40854064889345,7.75543939704369,6.50844525038029,6.48
zheng zhang,60,8.40096987735527,7.92545838145343,7.32,7.32
liang zhang,62,8.4,8.4,8.4,8.4
fan zhang,36,8.4,8.4,8.4,8.4
feng lin,38,8.4,8.4,8.4,8.4
yong huang,13,8.39363788025832,7.81249925091245,6.54951519411626,3.24
jie xu,45,8.34752360976629,7.654830436197,6.44222907772818,6.24
jun yu,13,8.33906040598532,7.64515596876914,6.53360715202579,5.4
jian huang,36,8.33402545273688,8.1,8.1,8.1
yong xu,27,8.33272898389396,7.71115006990416,7.56,7.56
wen wang,7,8.313514016337,7.82610061543159,6.40639815038665,3.24
wei he,3,8.30941157328971,7.60061254962257,6.37711862106139,1.62
peng liu,51,8.29330586049817,7.81626520581268,7.68,7.68
li zhou,10,8.26550964421312,7.68672850647696,6.59177505779389,3.24
ning chen,23,8.26544050869223,7.8200124787163,6.49937699931202,2.52
li lin,15,8.22188827910269,7.67340090431373,6.53947767345026,6.48
chen li,40,8.15439955581447,7.42838018182387,6.14168354587605,2.82
liang li,9,8.14269095966524,7.8659697356612,6.81802022111712,2.16
ying lu,27,8.1,8.1,8.1,8.1
xin zhou,18,8.1,8.1,8.1,8.1
jin yang,29,8.1,8.1,8.1,8.1
fan yang,35,8.1,8.1,8.1,8.1
jun luo,29,8.1,8.1,8.1,8.1
yun li,23,8.07795068188498,7.54752468902598,6.48,6.48
fei zhang,3,8.07288659120104,7.51041315556638,6.58677353499892,1.62
hui yang,27,8.06332065925535,7.64454895422023,6.48897762588185,3.24
qi chen,11,8.02720483631832,7.64260888080969,6.56038716440771,3.78
yuan liu,9,8.01246830760243,7.44604899977086,6.37604585230747,1.38
xin he,90,7.98,7.98,7.98,7.98
rui wang,25,7.97177738960991,7.56,7.56,7.56
hui wu,15,7.9697973196055,7.53361306168868,6.30723936684512,1.38
rong wang,10,7.96745754367329,7.44081769734955,6.16148866387296,3.78
ying huang,21,7.88871793299761,7.35614926903016,6.40691122281081,4.32
ming yang,18,7.87406353191966,7.46677926163309,6.28031301404914,5.16
yue wang,70,7.86,7.86,7.86,7.86
wei ding,30,7.86,7.86,7.86,7.86
bin yang,5,7.8396850156636,7.32586941701573,6.19670665442593,1
yi huang,7,7.83645725267198,7.14503084031838,5.90437482793045,1.38
bing chen,13,7.83238147250604,7.11534377222981,5.78878801760921,4.86
ying xu,87,7.83147301608754,7.26072017779487,6.34172804566546,6.24
hua liu,16,7.82396024060356,7.47434573506939,6.37174787734804,3.78
chen zhang,9,7.8224648370876,7.10109094326604,5.94529057024501,3.78
xin yang,34,7.78890143719605,7.35495193999864,6.4587669245054,3.78
ming wu,13,7.78273531253712,7.35842312097838,6.10441887183072,2.7
yi xu,21,7.77959156827197,7.05234052436594,5.84430439820898,4.08
